order_id,customer_id,date,product_id,quantity,price
1,110,2023-09-11,127,5,35.49
2,445,2023-11-17,101,4,35.81
3,711,2023-08-16,129,1,12.06
4,265,2023-07-24,142,1,43.41
5,236,2023-09-28,163,4,48.54
6,987,2024-02-11,196,3,22.6
7,544,2023-04-30,139,2,9.73
8,675,2023-06-27,156,3,47.52
9,528,2023-10-27,152,1,27.81
10,703,2023-10-06,136,3,19.81
11,331,2023-06-26,139,3,10.07
12,307,2023-03-30,100,2,24.44
13,529,2024-03-02,121,3,6.35
14,201,2023-06-03,112,3,34.66
15,864,2023-10-16,104,1,29.92
16,602,2023-10-22,163,3,13.11
17,447,2023-10-18,182,4,40.27
18,314,2024-02-29,121,1,19.89
19,576,2024-02-14,105,2,8.15
20,168,2023-10-18,153,2,20.79
21,319,2024-01-29,126,5,38.27
22,125,2023-04-11,139,1,18.91
23,963,2023-11-19,105,4,13.13
24,901,2023-07-31,169,3,20.81
25,866,2023-06-05,192,4,23.93
26,379,2023-03-26,131,3,22.1
27,648,2024-03-14,155,2,32.23
28,129,2024-01-18,128,3,41.76
29,344,2023-05-15,138,1,48.25
30,695,2023-06-09,174,4,29.24
31,340,2024-02-23,161,1,25.55
32,520,2024-02-28,198,2,22.84
33,558,2023-12-17,123,3,41.94
34,558,2023-09-11,174,5,26.01
35,556,2023-04-28,179,2,17.77
36,532,2023-09-01,131,4,31.36
37,759,2023-07-12,199,3,12.86
38,975,2023-12-19,126,4,39.39
39,996,2024-01-18,106,2,6.83
40,474,2023-11-07,171,2,28.0
41,163,2024-03-13,178,3,21.36
42,590,2023-09-02,157,3,41.04
43,210,2023-12-10,179,1,24.96
44,226,2023-08-15,113,1,18.67
45,315,2023-05-26,127,2,31.85
46,518,2023-10-22,190,1,48.03
47,352,2023-08-13,136,2,31.67
48,705,2023-08-24,115,3,10.11
49,536,2023-10-23,122,3,21.3
50,845,2024-02-02,182,5,8.71
51,832,2023-03-25,114,4,18.68
52,942,2023-10-23,189,3,35.29
53,272,2023-11-01,146,5,33.84
54,529,2023-10-30,103,2,7.62
55,845,2024-02-02,179,3,45.74
56,841,2023-03-26,156,5,21.92
57,881,2023-03-22,174,5,46.75
58,945,2024-02-04,179,4,43.53
59,853,2023-10-28,119,1,22.81
60,128,2024-01-18,190,5,39.84
61,537,2023-12-05,145,1,42.26
62,639,2024-02-04,194,1,42.19
63,613,2023-07-18,160,5,25.71
64,682,2024-02-16,166,1,43.65
65,769,2023-08-04,108,2,21.94
66,988,2023-12-04,135,5,16.82
67,493,2023-12-16,132,4,41.67
68,256,2024-01-24,180,2,28.59
69,408,2023-10-13,119,3,16.69
70,408,2023-07-28,161,1,37.59
71,910,2023-11-02,166,2,31.48
72,635,2023-11-17,152,3,38.77
73,844,2023-06-23,110,1,39.07
74,830,2023-08-26,114,1,12.99
75,449,2024-02-02,146,5,20.54
76,873,2023-08-28,158,5,8.82
77,986,2023-07-05,164,2,14.68
78,766,2023-05-23,199,4,40.18
79,308,2024-01-09,174,1,7.38
80,469,2023-07-14,153,5,11.66
81,704,2023-06-26,146,5,23.58
82,887,2023-09-22,102,2,16.13
83,473,2023-05-30,102,5,44.48
84,948,2023-10-12,123,4,48.47
85,375,2023-06-02,128,2,25.91
86,197,2023-12-12,163,1,12.31
87,137,2023-11-28,107,2,18.52
88,170,2023-06-16,178,3,26.98
89,582,2024-03-14,190,5,47.95
90,111,2024-01-09,107,1,25.4
91,271,2023-12-23,117,2,12.65
92,492,2023-11-08,176,3,34.89
93,863,2023-04-22,167,2,23.12
94,662,2023-05-16,149,5,42.32
95,379,2024-02-21,142,2,19.82
96,865,2024-02-19,141,2,17.59
97,236,2024-02-13,193,2,12.28
98,516,2023-08-24,155,3,40.59
99,513,2023-06-04,161,1,20.46
100,892,2023-08-28,178,2,22.06
101,558,2023-12-13,105,3,33.34
102,539,2023-03-26,108,1,42.84
103,638,2023-12-16,110,1,43.62
104,423,2023-11-27,184,3,34.62
105,834,2023-06-26,152,1,17.26
106,731,2023-09-12,159,5,25.96
107,936,2023-09-29,157,4,41.24
108,593,2023-10-27,178,2,17.04
109,170,2023-11-17,160,4,35.17
110,698,2024-02-11,135,1,17.2
111,537,2024-01-31,178,4,29.46
112,323,2023-11-20,198,2,10.39
113,537,2023-06-08,192,4,46.39
114,773,2023-03-25,125,4,13.39
115,698,2023-12-27,183,2,16.35
116,485,2023-04-29,112,4,13.9
117,688,2024-01-15,179,1,18.93
118,657,2023-11-13,183,5,28.04
119,547,2023-12-26,114,1,21.46
120,825,2023-06-24,122,4,10.8
121,234,2023-08-15,114,4,19.93
122,253,2023-12-20,181,1,31.14
123,120,2023-09-21,121,3,22.61
124,304,2023-04-05,122,2,40.26
125,585,2023-04-03,157,3,45.94
126,835,2023-06-13,155,5,36.78
127,529,2023-12-16,199,3,22.89
128,427,2023-06-11,185,4,36.83
129,327,2023-03-23,192,5,29.48
130,176,2023-10-02,126,1,9.73
131,835,2023-05-23,131,4,9.33
132,267,2023-07-11,182,1,39.21
133,172,2023-06-19,131,3,44.5
